"Key            Name:Suffix                                Trend Definitions Used"
"Point_1:","MHL-017.IC","","COV         1 minute"
"Point_2:","MHX1-017.IC","","COV         1 minute"
"Point_3:","MTX1-017.IC","","COV         1 minute"
"Point_4:","MVD1-017.IC","","COV         1 minute"
"Point_5:","MVV1-017.IC","","COV         1 minute"
"Point_6:","TOTKWEV-MB.IC","","COV         15 minutes"
"Point_7:","TOTKWEV.IC","","COV         30 minutes"
"Point_8:","MDI.001-650.IC","","COV         30 minutes"
"Point_9:","MDICOR.GM","","COV         15 minutes"
"Point_10:","MDE.EFDP.IC","","COV         15 minutes"
"Point_11:","MTXLOY","","COV         15 minutes"
"Point_12:","DEMANDE.ELEC.MOYEN60S.BS","","COV         15 minutes"
"Time Interval:","1 Hours"
"Date Range:","1/1/2019 00:00:00 - 4/9/2019 23:59:59"
"Report Timings:","All Hours"
""
"<>Date","Time","Point_1","Point_2","Point_3","Point_4","Point_5","Point_6","Point_7","Point_8","Point_9","Point_10","Point_11","Point_12"
"1/5/2019","06:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","800","No Data","4114.13"
"1/5/2019","07:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","800","No Data","4044.31"
"1/5/2019","08:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","800","No Data","4167.85"
"1/5/2019","09:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","800","No Data","4052.09"
"1/5/2019","10:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","800","No Data","4050.59"
"1/5/2019","11:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","800","No Data","3988.68"
"1/5/2019","12:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","800","No Data","4220.07"
"1/5/2019","13:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","800","No Data","4259.07"
"1/5/2019","14:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","800","No Data","4013.36"
"1/5/2019","15:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","800","No Data","4284.57"
"1/5/2019","16:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","900","No Data","4210.80"
"1/5/2019","17:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","900","No Data","4249.93"
"1/5/2019","18:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","900","No Data","4241.48"
"1/5/2019","19:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","900","No Data","4234.66"
"1/5/2019","20:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","900","No Data","4349.20"
"1/5/2019","21:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","900","No Data","4173.85"
"1/5/2019","22:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","900","No Data","4024.00"
"1/5/2019","23:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","900","No Data","3937.82"
"1/6/2019","00:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","900","No Data","3761.66"
"1/6/2019","01:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","900","No Data","3553.86"
"1/6/2019","02:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","900","No Data","3821.52"
"1/6/2019","03:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","900","No Data","3611.13"
"1/6/2019","04:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","900","No Data","3603.08"
"1/6/2019","05:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","900","No Data","3600.35"
"1/6/2019","06:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","1000","No Data","3703.44"
"1/6/2019","07:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","1000","No Data","3786.75"
"1/6/2019","08:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","1000","No Data","4049.91"
"1/6/2019","09:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","1000","No Data","4103.90"
"1/6/2019","10:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","1000","No Data","4228.66"
"1/6/2019","11:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","1000","No Data","4473.00"
"1/6/2019","12:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","1000","No Data","4309.25"
"1/6/2019","13:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","1000","No Data","4268.48"
"1/6/2019","14:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","1000","No Data","4148.49"
"1/6/2019","15:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","1000","No Data","4258.80"
"1/6/2019","16:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","1000","No Data","4330.65"
"1/6/2019","17:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","1000","No Data","4302.29"
"1/6/2019","18:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","1100","No Data","4307.75"
"1/6/2019","19:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","1100","No Data","4252.66"
"1/6/2019","20:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","1100","No Data","4228.93"
"1/6/2019","21:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","1100","No Data","4200.85"
"1/6/2019","22:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","1100","No Data","4386.97"
"1/6/2019","23:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","1100","No Data","4267.25"
"1/7/2019","00:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","1100","No Data","3823.56"
"1/7/2019","01:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","1100","No Data","3974.91"
"1/7/2019","02:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","1100","No Data","4196.62"
"1/7/2019","03:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","1100","No Data","3989.09"
"1/7/2019","04:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","1100","No Data","3796.70"
"1/7/2019","05:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","1100","No Data","3751.98"
"1/7/2019","06:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","1200","No Data","3995.77"
"1/7/2019","07:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","1200","No Data","4464.00"
"1/7/2019","08:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","1200","No Data","4693.07"
"1/7/2019","09:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","1200","No Data","4701.66"
"1/7/2019","10:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","1200","No Data","4719.53"
"1/7/2019","11:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","1200","No Data","4632.13"
"1/7/2019","12:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","1200","No Data","4729.75"
"1/7/2019","13:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","1200","No Data","4993.18"
"1/7/2019","14:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","1300","No Data","4735.89"
"1/7/2019","15:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","1300","No Data","4713.94"
"1/7/2019","16:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","1300","No Data","4796.97"
"1/7/2019","17:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","1300","No Data","5017.86"
"1/7/2019","18:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","1300","No Data","4944.91"
"1/7/2019","19:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","1300","No Data","4870.60"
"1/7/2019","20:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","1400","No Data","4775.70"
"1/7/2019","21:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","1400","No Data","4777.75"
"1/7/2019","22:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","1400","No Data","4571.17"
"1/7/2019","23:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","1400","No Data","4547.18"
"1/8/2019","00:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","1400","No Data","4228.12"
"1/8/2019","01:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","1400","No Data","4108.40"
"1/8/2019","02:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","1400","No Data","4048.13"
"1/8/2019","03:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","1400","No Data","3989.36"
"1/8/2019","04:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","1400","No Data","4051.54"
"1/8/2019","05:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","1400","No Data","3904.42"
"1/8/2019","06:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","1400","No Data","3891.19"
"1/8/2019","07:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","1500","No Data","4221.71"
"1/8/2019","08:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","1500","No Data","4440.01"
"1/8/2019","09:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","1500","No Data","4797.52"
"1/8/2019","10:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","1500","No Data","4815.65"
